Year,Revenue,Operating_Profit,Allocated_DA,EBITDA,EBITDA_Margin,Op_Margin
2019,20870,2088,931.003717472119,3019.003717472119,14.5,10.0
2020,19231,2100,1059.483089010252,3159.483089010252,16.4,10.9
2021,22831,2623,1053.5110553059583,3676.5110553059585,16.1,11.5
2022,26330,4184,1041.2018106248001,5225.2018106248,19.8,15.9
2023,28000,5310,895.1983298538622,6205.198329853863,22.2,19.0
2024,28850,5750,958.4170408430928,6708.417040843093,23.3,19.9
LTM Q4'24-Q3'25,30450,6054,992.2244803555043,7046.224480355504,23.1,19.9
